agent,iteration,layer1,layer2,decision, payoff, norm or self
agent006,2,7,0,7,7.0,self
agent007,2,31,0,31,31.0,self
agent008,2,17,0,17,17.0,self
agent009,2,40,0,40,40.0,self
agent00a,2,33,0,33,33.0,self
agent00b,2,43,0,43,43.0,self
agent00c,2,8,0,8,8.0,self
agent00d,2,24,0,24,24.0,self
agent00e,2,38,0,38,38.0,self
agent00f,2,23,0,23,23.0,self
agent010,2,45,0,45,45.0,self
agent011,2,26,0,26,26.0,self
agent012,2,17,0,17,17.0,self
agent013,2,35,0,35,35.0,self
agent014,2,16,0,16,16.0,self
agent015,2,34,0,34,34.0,self
agent016,2,40,0,40,40.0,self
agent017,2,11,0,11,11.0,self
agent018,2,22,0,22,22.0,self
agent019,2,31,0,31,31.0,self
agent01a,2,24,0,24,24.0,self
agent01b,2,31,0,31,31.0,self
agent01c,2,25,0,25,25.0,self
agent01d,2,35,0,35,35.0,self
agent01e,2,23,0,23,23.0,self
agent01f,2,14,0,14,14.0,self
agent020,2,20,0,20,20.0,self
agent021,2,15,0,15,15.0,self
agent022,2,21,0,21,21.0,self
agent023,2,35,0,35,35.0,self
agent024,2,15,0,15,15.0,self
agent025,2,4,0,4,4.0,self
agent026,2,10,0,10,10.0,self
agent027,2,20,0,20,20.0,self
agent028,2,29,0,29,29.0,self
agent029,2,45,0,45,45.0,self
agent02a,2,8,0,8,8.0,self
agent02b,2,27,0,27,27.0,self
agent02c,2,28,0,28,28.0,self
agent02d,2,35,0,35,35.0,self
agent02e,2,21,0,21,21.0,self
agent02f,2,24,0,24,24.0,self
agent030,2,38,0,38,38.0,self
agent031,2,31,0,31,31.0,self
agent032,2,28,0,28,28.0,self
agent033,2,21,0,21,21.0,self
agent034,2,5,0,5,5.0,self
agent035,2,21,0,21,21.0,self
agent036,2,24,0,24,24.0,self
agent037,2,39,0,39,39.0,self
agent038,2,27,0,27,27.0,self
agent039,2,42,0,42,42.0,self
agent03a,2,36,0,36,36.0,self
agent03b,2,14,0,14,14.0,self
agent03c,2,31,0,31,31.0,self
agent03d,2,44,0,44,44.0,self
agent03e,2,12,0,12,12.0,self
agent03f,2,28,0,28,28.0,self
agent040,2,19,0,19,19.0,self
agent041,2,36,0,36,36.0,self
agent042,2,18,0,18,18.0,self
agent043,2,22,0,22,22.0,self
agent044,2,8,0,8,8.0,self
agent045,2,46,0,46,46.0,self
agent046,2,40,0,40,40.0,self
agent047,2,21,0,21,21.0,self
agent048,2,21,0,21,21.0,self
agent049,2,41,0,41,41.0,self
agent04a,2,10,0,10,10.0,self
agent04b,2,26,0,26,26.0,self
agent04c,2,10,0,10,10.0,self
agent04d,2,31,0,31,31.0,self
agent04e,2,43,0,43,43.0,self
agent04f,2,7,0,7,7.0,self
agent050,2,39,0,39,39.0,self
agent051,2,35,0,35,35.0,self
agent052,2,39,0,39,39.0,self
agent053,2,41,0,41,41.0,self
agent054,2,14,0,14,14.0,self
agent055,2,11,0,11,11.0,self
agent056,2,4,0,4,4.0,self
agent057,2,18,0,18,18.0,self
agent058,2,43,0,43,43.0,self
agent059,2,18,0,18,18.0,self
agent05a,2,23,0,23,23.0,self
agent05b,2,32,0,32,32.0,self
agent05c,2,29,0,29,29.0,self
agent05d,2,7,0,7,7.0,self
agent05e,2,31,0,31,31.0,self
agent05f,2,19,0,19,19.0,self
agent060,2,43,0,43,43.0,self
agent061,2,18,0,18,18.0,self
agent062,2,21,0,21,21.0,self
agent063,2,17,0,17,17.0,self
agent064,2,33,0,33,33.0,self
agent065,2,35,0,35,35.0,self
agent066,2,25,0,25,25.0,self
agent067,2,17,0,17,17.0,self
agent068,2,42,0,42,42.0,self
agent069,2,22,0,22,22.0,self
agent06a,2,11,0,11,11.0,self
agent06b,2,29,0,29,29.0,self
agent06c,2,22,0,22,22.0,self
agent06d,2,28,0,28,28.0,self
agent06e,2,44,0,44,44.0,self
agent06f,2,38,0,38,38.0,self
agent070,2,7,0,7,7.0,self
agent071,2,39,0,39,39.0,self
agent072,2,9,0,9,9.0,self
agent073,2,38,0,38,38.0,self
agent074,2,42,0,42,42.0,self
agent075,2,14,0,14,14.0,self
agent076,2,43,0,43,43.0,self
agent077,2,36,0,36,36.0,self
agent078,2,26,0,26,26.0,self
agent079,2,29,0,29,29.0,self
agent07a,2,47,0,47,47.0,self
agent07b,2,24,0,24,24.0,self
agent07c,2,20,0,20,20.0,self
agent07d,2,16,0,16,16.0,self
agent07e,2,21,0,21,21.0,self
agent07f,2,13,0,13,13.0,self
agent080,2,18,0,18,18.0,self
agent081,2,34,0,34,34.0,self
agent082,2,44,0,44,44.0,self
agent083,2,7,0,7,7.0,self
agent084,2,25,0,25,25.0,self
agent085,2,11,0,11,11.0,self
agent086,2,29,0,29,29.0,self
agent087,2,33,0,33,33.0,self
agent088,2,23,0,23,23.0,self
agent089,2,40,0,40,40.0,self
agent08a,2,31,0,31,31.0,self
agent08b,2,25,0,25,25.0,self
agent08c,2,18,0,18,18.0,self
agent08d,2,22,0,22,22.0,self
agent08e,2,31,0,31,31.0,self
agent08f,2,22,0,22,22.0,self
agent090,2,36,0,36,36.0,self
agent091,2,37,0,37,37.0,self
agent092,2,29,0,29,29.0,self
agent093,2,42,0,42,42.0,self
agent094,2,37,0,37,37.0,self
agent095,2,40,0,40,40.0,self
agent096,2,29,0,29,29.0,self
agent097,2,48,0,48,48.0,self
agent098,2,37,0,37,37.0,self
agent099,2,17,0,17,17.0,self
agent09a,2,29,0,29,29.0,self
agent09b,2,15,0,15,15.0,self
agent09c,2,41,0,41,41.0,self
agent09d,2,46,0,46,46.0,self
agent09e,2,21,0,21,21.0,self
agent09f,2,4,0,4,4.0,self
agent0a0,2,45,0,45,45.0,self
agent0a1,2,29,0,29,29.0,self
agent0a2,2,5,0,5,5.0,self
agent0a3,2,46,0,46,46.0,self
agent0a4,2,37,0,37,37.0,self
agent0a5,2,41,0,41,41.0,self
agent0a6,2,31,0,31,31.0,self
agent0a7,2,45,0,45,45.0,self
agent0a8,2,37,0,37,37.0,self
agent0a9,2,43,0,43,43.0,self
agent0aa,2,38,0,38,38.0,self
agent0ab,2,7,0,7,7.0,self
agent0ac,2,26,0,26,26.0,self
agent0ad,2,24,0,24,24.0,self
agent0ae,2,39,0,39,39.0,self
agent0af,2,46,0,46,46.0,self
agent0b0,2,48,0,48,48.0,self
agent0b1,2,23,0,23,23.0,self
agent0b2,2,21,0,21,21.0,self
agent0b3,2,10,0,10,10.0,self
agent0b4,2,24,0,24,24.0,self
agent0b5,2,32,0,32,32.0,self
agent0b6,2,42,0,42,42.0,self
agent0b7,2,18,0,18,18.0,self
