agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent04a,1,9,16,9,9.0,self,1
agent04b,1,24,18,24,24.0,self,2
agent04c,1,9,18,9,9.0,self,1
agent04d,1,29,18,29,29.0,self,2
agent04e,1,40,28,40,40.0,self,3
agent04f,1,5,28,5,5.0,self,2
agent050,1,37,18,37,37.0,self,2
agent051,1,34,37,34,34.0,self,1
agent052,1,37,39,37,37.0,self,2
agent053,1,39,6,39,39.0,self,2
agent054,1,12,18,12,12.0,self,2
agent055,1,10,18,10,10.0,self,1
agent056,1,3,20,3,3.0,self,1
agent057,1,17,28,17,17.0,self,1
agent058,1,41,18,41,41.0,self,2
agent059,1,16,18,16,16.0,self,2
agent05a,1,21,12,21,21.0,self,2
agent05b,1,29,18,29,29.0,self,3
agent05c,1,26,18,26,26.0,self,3
agent05d,1,6,41,6,6.0,self,1
agent05e,1,28,34,28,28.0,self,3
agent05f,1,17,18,17,17.0,self,2
agent060,1,41,18,41,41.0,self,2
agent061,1,17,20,17,17.0,self,1
agent062,1,18,27,18,18.0,self,3
agent063,1,15,6,15,15.0,self,2
agent064,1,30,16,30,30.0,self,3
agent065,1,34,39,34,34.0,self,1
agent066,1,22,20,22,22.0,self,3
agent067,1,16,26,16,16.0,self,1
agent068,1,39,42,39,39.0,self,3
agent069,1,20,42,20,20.0,self,2
agent06a,1,9,18,9,9.0,self,2
agent06b,1,27,16,27,27.0,self,2
agent06c,1,19,39,19,19.0,self,3
agent06d,1,27,18,27,27.0,self,1
agent06e,1,42,28,42,42.0,self,2
agent06f,1,37,21,37,37.0,self,1
agent070,1,6,20,6,6.0,self,1
agent071,1,38,39,38,38.0,self,1
agent072,1,7,16,7,7.0,self,2
agent073,1,36,18,36,36.0,self,2
agent074,1,41,20,41,41.0,self,1
agent075,1,13,18,13,13.0,self,1
agent076,1,40,6,40,40.0,self,3
agent077,1,34,6,34,34.0,self,2
agent078,1,23,20,23,23.0,self,3
agent079,1,26,20,26,26.0,self,3
agent07a,1,44,26,44,44.0,self,3
agent07b,1,23,18,23,23.0,self,1
agent07c,1,18,28,18,18.0,self,2
agent07d,1,15,5,15,15.0,self,1
agent07e,1,18,28,18,18.0,self,3
agent07f,1,10,18,10,10.0,self,3
agent080,1,17,39,17,17.0,self,1
agent081,1,32,39,32,32.0,self,2
agent082,1,41,18,41,41.0,self,3
agent083,1,6,18,6,6.0,self,1
agent084,1,24,20,24,24.0,self,1
agent085,1,10,17,10,10.0,self,1
agent086,1,26,22,26,26.0,self,3
agent087,1,32,28,32,32.0,self,1
agent088,1,22,21,22,22.0,self,1
agent089,1,39,27,39,39.0,self,1
agent08a,1,30,6,30,30.0,self,1
agent08b,1,22,20,22,22.0,self,3
agent08c,1,16,27,16,16.0,self,2
agent08d,1,20,36,20,20.0,self,2
agent08e,1,28,26,28,28.0,self,3
agent08f,1,21,18,21,21.0,self,1
