iteration, occupied land ratio, profit factor
419,0.980025,0.09987499999999994
420,0.98005,0.09975000000000023
421,0.980075,0.09962499999999963
422,0.9801,0.09949999999999992
423,0.980125,0.09937500000000021
424,0.98015,0.0992500000000005
425,0.980175,0.09912499999999991
426,0.9802,0.0990000000000002
427,0.980225,0.0988749999999996
428,0.98025,0.0987499999999999
429,0.980275,0.09862500000000018
430,0.9803,0.09850000000000048
431,0.980325,0.09837499999999988
432,0.98035,0.09825000000000017
433,0.980375,0.09812499999999957
434,0.9804,0.09799999999999986
435,0.980425,0.09787500000000016
436,0.98045,0.09774999999999956
437,0.980475,0.09762499999999985
438,0.9805,0.09750000000000014
439,0.980525,0.09737500000000043
440,0.98055,0.09724999999999984
441,0.980575,0.09712500000000013
442,0.9806,0.09699999999999953
443,0.980625,0.09687499999999982
444,0.98065,0.09675000000000011
445,0.980675,0.0966250000000004
446,0.9807,0.09649999999999981
447,0.980725,0.0963750000000001
448,0.98075,0.0962499999999995
449,0.980775,0.09612500000000068
450,0.9808,0.09600000000000009
451,0.980825,0.09587500000000038
452,0.98085,0.09574999999999978
453,0.980875,0.09562500000000007
454,0.9809,0.09550000000000036
455,0.980925,0.09537499999999977
456,0.98095,0.09525000000000006
457,0.980975,0.09512499999999946
458,0.981,0.09499999999999975
459,0.981025,0.09487500000000004
460,0.98105,0.09475000000000033
461,0.981075,0.09462499999999974
462,0.9811,0.09450000000000003
463,0.981125,0.09437499999999943
464,0.98115,0.09425000000000061
465,0.981175,0.09412500000000001
466,0.9812,0.0940000000000003
467,0.981225,0.09387499999999971
468,0.98125,0.09375
469,0.981275,0.09362500000000029
470,0.9813,0.09350000000000058
471,0.981325,0.09337499999999999
472,0.98135,0.09325000000000028
473,0.981375,0.09312499999999968
474,0.9814,0.09299999999999997
475,0.981425,0.09287500000000026
476,0.98145,0.09274999999999967
477,0.981475,0.09262499999999996
478,0.9815,0.09249999999999936
479,0.981525,0.09237500000000054
480,0.98155,0.09224999999999994
481,0.981575,0.09212500000000023
482,0.9816,0.09199999999999964
483,0.981625,0.09187499999999993
484,0.98165,0.09175000000000022
485,0.981675,0.09162500000000051
486,0.9817,0.09149999999999991
487,0.981725,0.0913750000000002
488,0.98175,0.09124999999999961
489,0.981775,0.0911249999999999
490,0.9818,0.09100000000000019
491,0.981825,0.09087500000000048
492,0.98185,0.09074999999999989
493,0.981875,0.09062499999999929
494,0.9819,0.09050000000000047
495,0.981925,0.09037499999999987
496,0.98195,0.09025000000000016
497,0.981975,0.09012499999999957
498,0.982,0.08999999999999986
499,0.982025,0.08987500000000015
